A*B product :
0, 1015, 2030, 3045, 4060, 5075, 6090,
0, 1120, 2240, 3360, 4480, 5600, 6720,
0, 1225, 2450, 3675, 4900, 6125, 7350,
0, 1330, 2660, 3990, 5320, 6650, 7980,
0, 1435, 2870, 4305, 5740, 7175, 8610,
0, 1540, 3080, 4620, 6160, 7700, 9240,
0, 1645, 3290, 4935, 6580, 8225, 9870,
0, 1750, 3500, 5250, 7000, 8750, 10500,
0, 1855, 3710, 5565, 7420, 9275, 11130,
0, 1960, 3920, 5880, 7840, 9800, 11760,
0, 2065, 4130, 6195, 8260, 10325, 12390,
0, 2170, 4340, 6510, 8680, 10850, 13020,
0, 2275, 4550, 6825, 9100, 11375, 13650,
0, 2380, 4760, 7140, 9520, 11900, 14280,
0, 2485, 4970, 7455, 9940, 12425, 14910,
0, 2590, 5180, 7770, 10360, 12950, 15540,
0, 2695, 5390, 8085, 10780, 13475, 16170,
0, 2800, 5600, 8400, 11200, 14000, 16800,
0, 2905, 5810, 8715, 11620, 14525, 17430,
0, 3010, 6020, 9030, 12040, 15050, 18060,
0, 3115, 6230, 9345, 12460, 15575, 18690,
0, 3220, 6440, 9660, 12880, 16100, 19320,
0, 3325, 6650, 9975, 13300, 16625, 19950,
0, 3430, 6860, 10290, 13720, 17150, 20580,
0, 3535, 7070, 10605, 14140, 17675, 21210,
0, 3640, 7280, 10920, 14560, 18200, 21840,
0, 3745, 7490, 11235, 14980, 18725, 22470,
0, 3850, 7700, 11550, 15400, 19250, 23100,
0, 3955, 7910, 11865, 15820, 19775, 23730,
0, 4060, 8120, 12180, 16240, 20300, 24360,
0, 4165, 8330, 12495, 16660, 20825, 24990,
0, 4270, 8540, 12810, 17080, 21350, 25620,
0, 4375, 8750, 13125, 17500, 21875, 26250,
0, 4480, 8960, 13440, 17920, 22400, 26880,
0, 4585, 9170, 13755, 18340, 22925, 27510,
0, 4690, 9380, 14070, 18760, 23450, 28140,
0, 4795, 9590, 14385, 19180, 23975, 28770,
0, 4900, 9800, 14700, 19600, 24500, 29400,
0, 5005, 10010, 15015, 20020, 25025, 30030,
0, 5110, 10220, 15330, 20440, 25550, 30660,
0, 5215, 10430, 15645, 20860, 26075, 31290,
0, 5320, 10640, 15960, 21280, 26600, 31920,
0, 5425, 10850, 16275, 21700, 27125, 32550,
0, 5530, 11060, 16590, 22120, 27650, 33180,
0, 5635, 11270, 16905, 22540, 28175, 33810,
0, 5740, 11480, 17220, 22960, 28700, 34440,
0, 5845, 11690, 17535, 23380, 29225, 35070,
0, 5950, 11900, 17850, 23800, 29750, 35700,
0, 6055, 12110, 18165, 24220, 30275, 36330,
0, 6160, 12320, 18480, 24640, 30800, 36960,
0, 6265, 12530, 18795, 25060, 31325, 37590,
0, 6370, 12740, 19110, 25480, 31850, 38220,
0, 6475, 12950, 19425, 25900, 32375, 38850,
0, 6580, 13160, 19740, 26320, 32900, 39480,
0, 6685, 13370, 20055, 26740, 33425, 40110,
0, 6790, 13580, 20370, 27160, 33950, 40740,
0, 6895, 13790, 20685, 27580, 34475, 41370,
0, 7000, 14000, 21000, 28000, 35000, 42000,
0, 7105, 14210, 21315, 28420, 35525, 42630,
0, 7210, 14420, 21630, 28840, 36050, 43260,
0, 7315, 14630, 21945, 29260, 36575, 43890,
0, 7420, 14840, 22260, 29680, 37100, 44520,
0, 7525, 15050, 22575, 30100, 37625, 45150,
0, 7630, 15260, 22890, 30520, 38150, 45780,
0, 7735, 15470, 23205, 30940, 38675, 46410,
0, 7840, 15680, 23520, 31360, 39200, 47040,
0, 7945, 15890, 23835, 31780, 39725, 47670,
0, 8050, 16100, 24150, 32200, 40250, 48300,
0, 8155, 16310, 24465, 32620, 40775, 48930,
0, 8260, 16520, 24780, 33040, 41300, 49560,
0, 8365, 16730, 25095, 33460, 41825, 50190,
0, 8470, 16940, 25410, 33880, 42350, 50820,
0, 8575, 17150, 25725, 34300, 42875, 51450,
0, 8680, 17360, 26040, 34720, 43400, 52080,
0, 8785, 17570, 26355, 35140, 43925, 52710,
0, 8890, 17780, 26670, 35560, 44450, 53340,
0, 8995, 17990, 26985, 35980, 44975, 53970,
0, 9100, 18200, 27300, 36400, 45500, 54600,
0, 9205, 18410, 27615, 36820, 46025, 55230,
0, 9310, 18620, 27930, 37240, 46550, 55860,
0, 9415, 18830, 28245, 37660, 47075, 56490,
0, 9520, 19040, 28560, 38080, 47600, 57120,
0, 9625, 19250, 28875, 38500, 48125, 57750,
0, 9730, 19460, 29190, 38920, 48650, 58380,
0, 9835, 19670, 29505, 39340, 49175, 59010,
0, 9940, 19880, 29820, 39760, 49700, 59640,
0, 10045, 20090, 30135, 40180, 50225, 60270,
0, 10150, 20300, 30450, 40600, 50750, 60900,
0, 10255, 20510, 30765, 41020, 51275, 61530,
0, 10360, 20720, 31080, 41440, 51800, 62160,
0, 10465, 20930, 31395, 41860, 52325, 62790,
0, 10570, 21140, 31710, 42280, 52850, 63420,
0, 10675, 21350, 32025, 42700, 53375, 64050,
0, 10780, 21560, 32340, 43120, 53900, 64680,
0, 10885, 21770, 32655, 43540, 54425, 65310,
0, 10990, 21980, 32970, 43960, 54950, 65940,
0, 11095, 22190, 33285, 44380, 55475, 66570,
0, 11200, 22400, 33600, 44800, 56000, 67200,
0, 11305, 22610, 33915, 45220, 56525, 67830,
0, 11410, 22820, 34230, 45640, 57050, 68460,
