Acc : 0.0000000396505779 , time : 0.000090 , N : 10 , result : 3.1415926139392152
Acc : 0.0000000006200076 , time : 0.000009 , N : 20 , result : 3.1415926529697855
Acc : 0.0000000000544342 , time : 0.000006 , N : 30 , result : 3.1415926535353589
Acc : 0.0000000000096874 , time : 0.000006 , N : 40 , result : 3.1415926535801058
Acc : 0.0000000000025402 , time : 0.000005 , N : 50 , result : 3.1415926535872529
Acc : 0.0000000000008504 , time : 0.000005 , N : 60 , result : 3.1415926535889427
Acc : 0.0000000000003375 , time : 0.000006 , N : 70 , result : 3.1415926535894556
Acc : 0.0000000000001510 , time : 0.000006 , N : 80 , result : 3.1415926535896421
Acc : 0.0000000000000746 , time : 0.000006 , N : 90 , result : 3.1415926535897185
Acc : 0.0000000000000400 , time : 0.000006 , N : 100 , result : 3.1415926535897531
Acc : 0.0000000000000218 , time : 0.000012 , N : 110 , result : 3.1415926535897714
Acc : 0.0000000000000124 , time : 0.000007 , N : 120 , result : 3.1415926535897807
Acc : 0.0000000000000080 , time : 0.000006 , N : 130 , result : 3.1415926535897851
Acc : 0.0000000000000053 , time : 0.000007 , N : 140 , result : 3.1415926535897878
Acc : 0.0000000000000040 , time : 0.000007 , N : 150 , result : 3.1415926535897891
Acc : 0.0000000000000018 , time : 0.000007 , N : 160 , result : 3.1415926535897913
Acc : 0.0000000000000018 , time : 0.000007 , N : 170 , result : 3.1415926535897913
Acc : 0.0000000000000018 , time : 0.000007 , N : 180 , result : 3.1415926535897913
Acc : -0.0000000000000004 , time : 0.000008 , N : 190 , result : 3.1415926535897936
Acc : 0.0000000000000000 , time : 0.000008 , N : 200 , result : 3.1415926535897931
Acc : 0.0000000000000009 , time : 0.000008 , N : 210 , result : 3.1415926535897922
Acc : 0.0000000000000009 , time : 0.000008 , N : 220 , result : 3.1415926535897922
Acc : -0.0000000000000004 , time : 0.000008 , N : 230 , result : 3.1415926535897936
Acc : 0.0000000000000013 , time : 0.000009 , N : 240 , result : 3.1415926535897918
Acc : 0.0000000000000009 , time : 0.000009 , N : 250 , result : 3.1415926535897922
Acc : 0.0000000000000009 , time : 0.000009 , N : 260 , result : 3.1415926535897922
Acc : -0.0000000000000013 , time : 0.000009 , N : 270 , result : 3.1415926535897944
Acc : 0.0000000000000004 , time : 0.000009 , N : 280 , result : 3.1415926535897927
Acc : 0.0000000000000004 , time : 0.000009 , N : 290 , result : 3.1415926535897927
Acc : 0.0000000000000004 , time : 0.000009 , N : 300 , result : 3.1415926535897927
Acc : -0.0000000000000004 , time : 0.000009 , N : 310 , result : 3.1415926535897936
Acc : -0.0000000000000009 , time : 0.000010 , N : 320 , result : 3.1415926535897940
Acc : -0.0000000000000004 , time : 0.000010 , N : 330 , result : 3.1415926535897936
Acc : 0.0000000000000018 , time : 0.000010 , N : 340 , result : 3.1415926535897913
Acc : 0.0000000000000000 , time : 0.000011 , N : 350 , result : 3.1415926535897931
Acc : 0.0000000000000009 , time : 0.000010 , N : 360 , result : 3.1415926535897922
Acc : 0.0000000000000009 , time : 0.000010 , N : 370 , result : 3.1415926535897922
Acc : 0.0000000000000000 , time : 0.000011 , N : 380 , result : 3.1415926535897931
Acc : -0.0000000000000004 , time : 0.000011 , N : 390 , result : 3.1415926535897936
Acc : -0.0000000000000004 , time : 0.000011 , N : 400 , result : 3.1415926535897936
Acc : 0.0000000000000009 , time : 0.000012 , N : 410 , result : 3.1415926535897922
Acc : -0.0000000000000004 , time : 0.000012 , N : 420 , result : 3.1415926535897936
Acc : -0.0000000000000004 , time : 0.000012 , N : 430 , result : 3.1415926535897936
Acc : -0.0000000000000027 , time : 0.000012 , N : 440 , result : 3.1415926535897958
Acc : 0.0000000000000018 , time : 0.000012 , N : 450 , result : 3.1415926535897913
Acc : -0.0000000000000013 , time : 0.000012 , N : 460 , result : 3.1415926535897944
Acc : -0.0000000000000027 , time : 0.000013 , N : 470 , result : 3.1415926535897958
Acc : 0.0000000000000004 , time : 0.000012 , N : 480 , result : 3.1415926535897927
Acc : -0.0000000000000004 , time : 0.000013 , N : 490 , result : 3.1415926535897936
Acc : -0.0000000000000004 , time : 0.000012 , N : 500 , result : 3.1415926535897936
Acc : 0.0000000000000004 , time : 0.000013 , N : 510 , result : 3.1415926535897927
Acc : 0.0000000000000018 , time : 0.000013 , N : 520 , result : 3.1415926535897913
Acc : -0.0000000000000018 , time : 0.000014 , N : 530 , result : 3.1415926535897949
Acc : -0.0000000000000013 , time : 0.000013 , N : 540 , result : 3.1415926535897944
Acc : 0.0000000000000004 , time : 0.000014 , N : 550 , result : 3.1415926535897927
Acc : -0.0000000000000013 , time : 0.000014 , N : 560 , result : 3.1415926535897944
Acc : 0.0000000000000004 , time : 0.000014 , N : 570 , result : 3.1415926535897927
Acc : -0.0000000000000018 , time : 0.000014 , N : 580 , result : 3.1415926535897949
