threads : 2 , time : 2.001321
threads : 4 , time : 0.975048
threads : 6 , time : 0.697926
threads : 8 , time : 0.480724
threads : 10 , time : 0.427266
threads : 12 , time : 0.363271
threads : 14 , time : 0.306058
threads : 16 , time : 0.283102
threads : 18 , time : 0.254978
threads : 20 , time : 0.287567
threads : 22 , time : 0.281473
threads : 24 , time : 0.276200
threads : 26 , time : 0.266526
threads : 28 , time : 0.241416
threads : 30 , time : 0.243659
threads : 32 , time : 0.235027
threads : 34 , time : 0.230259
threads : 36 , time : 0.222477
threads : 38 , time : 0.179219
threads : 40 , time : 0.177112
