item : 0.000000 , threadsNum : 2 , time : 0.229782
item : 0.000000 , threadsNum : 4 , time : 0.130372
item : 0.000000 , threadsNum : 6 , time : 0.093074
item : 0.000000 , threadsNum : 8 , time : 0.076239
item : 0.000000 , threadsNum : 10 , time : 0.063307
item : 0.000000 , threadsNum : 12 , time : 0.055438
item : 0.000000 , threadsNum : 14 , time : 0.048124
item : 0.000000 , threadsNum : 16 , time : 0.043676
item : 0.000000 , threadsNum : 18 , time : 0.041105
item : 0.000000 , threadsNum : 20 , time : 0.032843
item : 0.000000 , threadsNum : 22 , time : 0.034845
item : 0.000000 , threadsNum : 24 , time : 0.035986
item : 0.000000 , threadsNum : 26 , time : 0.028397
item : 0.000000 , threadsNum : 28 , time : 0.027316
item : 0.000000 , threadsNum : 30 , time : 0.026347
item : 0.000000 , threadsNum : 32 , time : 0.026716
item : 0.000000 , threadsNum : 34 , time : 0.026469
item : 0.000000 , threadsNum : 36 , time : 0.026617
item : 0.000000 , threadsNum : 38 , time : 0.026799
item : 0.000000 , threadsNum : 40 , time : 0.069335
