threads : 2 , time : 0.081581 , sum : 24507362673.000000 , dim : 10000000
threads : 4 , time : 0.052689 , sum : 24507362673.000000 , dim : 10000000
threads : 6 , time : 0.020630 , sum : 24507362673.000000 , dim : 10000000
threads : 8 , time : 0.018234 , sum : 24507362673.000000 , dim : 10000000
threads : 10 , time : 0.024682 , sum : 24507362673.000000 , dim : 10000000
threads : 12 , time : 0.019424 , sum : 24507362673.000000 , dim : 10000000
threads : 14 , time : 0.017391 , sum : 24507362673.000000 , dim : 10000000
threads : 16 , time : 0.010819 , sum : 24507362673.000000 , dim : 10000000
threads : 18 , time : 0.012248 , sum : 24507362673.000000 , dim : 10000000
threads : 20 , time : 0.009888 , sum : 24507362673.000000 , dim : 10000000
threads : 22 , time : 0.014320 , sum : 24507362673.000000 , dim : 10000000
threads : 24 , time : 0.018428 , sum : 24507362673.000000 , dim : 10000000
threads : 26 , time : 0.017445 , sum : 24507362673.000000 , dim : 10000000
threads : 28 , time : 0.008619 , sum : 24507362673.000000 , dim : 10000000
threads : 30 , time : 0.005768 , sum : 24507362673.000000 , dim : 10000000
threads : 32 , time : 0.012327 , sum : 24507362673.000000 , dim : 10000000
threads : 34 , time : 0.011612 , sum : 24507362673.000000 , dim : 10000000
threads : 36 , time : 0.011530 , sum : 24507362673.000000 , dim : 10000000
threads : 38 , time : 0.012700 , sum : 24507362673.000000 , dim : 10000000
threads : 40 , time : 0.013063 , sum : 24507362673.000000 , dim : 10000000
