N : 1410065408 , result : 3.141593 , time : 16.911492 , threadsNum : 2
N : 1410065408 , result : 3.141593 , time : 8.735972 , threadsNum : 4
N : 1410065408 , result : 3.141593 , time : 6.150593 , threadsNum : 6
N : 1410065408 , result : 3.141593 , time : 4.780333 , threadsNum : 8
N : 1410065408 , result : 3.141593 , time : 3.985482 , threadsNum : 10
N : 1410065408 , result : 3.141593 , time : 3.313172 , threadsNum : 12
N : 1410065408 , result : 3.141593 , time : 2.843791 , threadsNum : 14
N : 1410065408 , result : 3.141593 , time : 2.480879 , threadsNum : 16
N : 1410065408 , result : 3.141593 , time : 2.214819 , threadsNum : 18
N : 1410065408 , result : 3.141593 , time : 2.095346 , threadsNum : 20
N : 1410065408 , result : 3.141593 , time : 1.927671 , threadsNum : 22
N : 1410065408 , result : 3.141593 , time : 1.868817 , threadsNum : 24
N : 1410065408 , result : 3.141593 , time : 1.728399 , threadsNum : 26
N : 1410065408 , result : 3.141593 , time : 1.569823 , threadsNum : 28
N : 1410065408 , result : 3.141593 , time : 1.459392 , threadsNum : 30
N : 1410065408 , result : 3.141593 , time : 1.377632 , threadsNum : 32
N : 1410065408 , result : 3.141593 , time : 1.307721 , threadsNum : 34
N : 1410065408 , result : 3.141593 , time : 1.243452 , threadsNum : 36
N : 1410065408 , result : 3.141593 , time : 1.158626 , threadsNum : 38
N : 1410065408 , result : 3.141593 , time : 1.526065 , threadsNum : 40
